Dataset,Model,Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Layer,Activation Ratio,Neuron Count,Active Count
FashionMNIST,784=>256=>128=>64=>10,10,0.91185,0.8872,0.2351003388312262,0.34035686617064626,1,0.1794,256,45.93
FashionMNIST,784=>256=>128=>64=>10,10,0.91185,0.8872,0.2351003388312262,0.34035686617064626,2,0.3374,128,43.19
FashionMNIST,784=>256=>128=>64=>10,10,0.91185,0.8872,0.2351003388312262,0.34035686617064626,3,0.4289,64,27.45
FashionMNIST,784=>256=>128=>64=>10,10,0.91185,0.8872,0.2351003388312262,0.34035686617064626,4,0.2074,10,2.07
FashionMNIST,784=>256=>128=>64=>10,11,0.9134833333333333,0.8851,0.22964949465827392,0.3342151055290441,1,0.1729,256,44.26
FashionMNIST,784=>256=>128=>64=>10,11,0.9134833333333333,0.8851,0.22964949465827392,0.3342151055290441,2,0.3264,128,41.78
FashionMNIST,784=>256=>128=>64=>10,11,0.9134833333333333,0.8851,0.22964949465827392,0.3342151055290441,3,0.4214,64,26.97
FashionMNIST,784=>256=>128=>64=>10,11,0.9134833333333333,0.8851,0.22964949465827392,0.3342151055290441,4,0.2005,10,2.01
FashionMNIST,784=>256=>128=>64=>10,12,0.9167833333333333,0.8884,0.21883525540516066,0.3249664059869803,1,0.1673,256,42.82
FashionMNIST,784=>256=>128=>64=>10,12,0.9167833333333333,0.8884,0.21883525540516066,0.3249664059869803,2,0.3207,128,41.05
FashionMNIST,784=>256=>128=>64=>10,12,0.9167833333333333,0.8884,0.21883525540516066,0.3249664059869803,3,0.4162,64,26.64
FashionMNIST,784=>256=>128=>64=>10,12,0.9167833333333333,0.8884,0.21883525540516066,0.3249664059869803,4,0.1965,10,1.96
FashionMNIST,784=>256=>128=>64=>10,13,0.9202,0.8867,0.2109283946438639,0.3589828418223721,1,0.1668,256,42.7
FashionMNIST,784=>256=>128=>64=>10,13,0.9202,0.8867,0.2109283946438639,0.3589828418223721,2,0.314,128,40.19
FashionMNIST,784=>256=>128=>64=>10,13,0.9202,0.8867,0.2109283946438639,0.3589828418223721,3,0.4138,64,26.48
FashionMNIST,784=>256=>128=>64=>10,13,0.9202,0.8867,0.2109283946438639,0.3589828418223721,4,0.1913,10,1.91
FashionMNIST,784=>256=>128=>64=>10,14,0.9225666666666666,0.8838,0.2044940385768917,0.366030992453645,1,0.1626,256,41.62
FashionMNIST,784=>256=>128=>64=>10,14,0.9225666666666666,0.8838,0.2044940385768917,0.366030992453645,2,0.3077,128,39.38
FashionMNIST,784=>256=>128=>64=>10,14,0.9225666666666666,0.8838,0.2044940385768917,0.366030992453645,3,0.4065,64,26.01
FashionMNIST,784=>256=>128=>64=>10,14,0.9225666666666666,0.8838,0.2044940385768917,0.366030992453645,4,0.1908,10,1.91
FashionMNIST,784=>256=>128=>64=>10,15,0.9249833333333334,0.8868,0.19725223035732312,0.34312154478423157,1,0.1619,256,41.45
FashionMNIST,784=>256=>128=>64=>10,15,0.9249833333333334,0.8868,0.19725223035732312,0.34312154478423157,2,0.3,128,38.39
FashionMNIST,784=>256=>128=>64=>10,15,0.9249833333333334,0.8868,0.19725223035732312,0.34312154478423157,3,0.4015,64,25.69
FashionMNIST,784=>256=>128=>64=>10,15,0.9249833333333334,0.8868,0.19725223035732312,0.34312154478423157,4,0.188,10,1.88
FashionMNIST,784=>256=>128=>64=>10,16,0.9264833333333333,0.8864,0.19271447859815696,0.3598511275022652,1,0.1589,256,40.67
FashionMNIST,784=>256=>128=>64=>10,16,0.9264833333333333,0.8864,0.19271447859815696,0.3598511275022652,2,0.3002,128,38.42
